dataset,MSE_diff,MAE_diff
ECL,0.003,0.003
ETTh1,0.006,0.004
ETTh2,0.010,0.004
ETTm1,0.007,0.005
ETTm2,0.005,0.004
PEMS03,0.009,0.010
PEMS04,0.006,0.009
PEMS07,0.004,0.006
PEMS08,0.007,0.010
solar,0.002,0.002
traffic,0.003,0.000
weather,0.003,0.002

