dataset,MSE,MAE
ECL,0.165,0.258
ETTh1,0.446,0.441
ETTh2,0.381,0.406
ETTm1,0.39,0.4
ETTm2,0.287,0.329
PEMS03,0.096,0.201
PEMS04,0.09,0.195
PEMS07,0.076,0.17
PEMS08,0.124,0.208
solar,0.227,0.256
traffic,0.412,0.267
weather,0.25,0.274
